longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,target
-121.91,36.63,42.0,817.0,194.0,391.0,193.0,2.1776,0.0,279200.0
-121.43,38.66,35.0,1814.0,367.0,1076.0,372.0,2.7179,0.0,81100.0
-121.58,39.5,29.0,1947.0,383.0,925.0,337.0,2.1658,0.0,57600.0
-120.24,39.35,8.0,4195.0,725.0,291.0,115.0,3.4792,0.0,180800.0
-122.02,38.37,16.0,2495.0,331.0,1118.0,338.0,6.4894,0.0,198000.0
-122.01,37.18,37.0,3852.0,652.0,1534.0,567.0,5.8596,0.0,318700.0
-117.7,33.5,4.0,2351.0,445.0,834.0,397.0,5.5677,0.0,245400.0
-117.41,33.96,27.0,2341.0,418.0,1272.0,415.0,3.0208,0.0,112700.0
-122.45,37.67,36.0,1664.0,326.0,963.0,322.0,4.7813,0.0,246400.0
-122.73,38.44,35.0,1120.0,297.0,659.0,274.0,2.3824,0.0,145000.0
-121.92,37.48,23.0,4314.0,676.0,1972.0,623.0,5.3813,0.0,264400.0
-122.44,37.78,52.0,1118.0,279.0,514.0,284.0,2.4196,0.0,346200.0
-118.29,33.93,32.0,1815.0,488.0,1715.0,475.0,1.7244,0.0,111200.0
-121.79,38.0,34.0,3090.0,593.0,1588.0,566.0,3.6118,0.0,124700.0
-116.96,33.73,20.0,4735.0,973.0,2306.0,904.0,3.069,0.0,87000.0
-121.31,38.26,22.0,1768.0,396.0,1005.0,420.0,1.8846,0.0,88300.0
